B,L,D,C1 Load,R1 Resistance,C2 Load,R2 Resistance,Volume,Price
0.42,0.45,4,533.3193,998.4306063,415.02,480.090136,0.0945,10867.5
0.35,0.54,4,533.3193,892.5601488,415.02,434.2813438,0.0945,10867.5
0.43,0.44,3.8,532.8252,982.322136,415.02,471.552618,0.0946,10879
0.43,0.44,3.85,532.95291,990.6783276,415.02,475.5735163,0.0946,10879
0.43,0.44,3.9,533.08062,999.0345192,415.02,479.5944147,0.0946,10879
0.43,0.44,3.95,533.20833,1007.390711,415.02,483.6153131,0.0946,10879
0.43,0.44,4,533.33604,1015.746902,415.02,487.6362114,0.0946,10879
0.38,0.5,3.8,532.89,908.2858237,415.02,439.7073348,0.095,10925
0.38,0.5,3.85,533.01825,916.007213,415.02,443.4550623,0.095,10925
0.38,0.5,3.9,533.1465,923.7286024,415.02,447.2027897,0.095,10925
0.38,0.5,3.95,533.27475,931.4499917,415.02,450.9505171,0.095,10925
0.38,0.5,4,533.403,939.171381,415.02,454.6982445,0.095,10925
0.34,0.56,3.85,533.05092,862.0006797,415.02,420.1938924,0.0952,10948
0.34,0.56,3.9,533.17944,869.2658742,415.02,423.7449358,0.0952,10948
0.34,0.56,3.95,533.30796,876.5310688,415.02,427.2959793,0.0952,10948
0.34,0.56,4,533.43648,883.7962633,415.02,430.8470227,0.0952,10948
0.36,0.53,3.8,532.9548,882.8062903,415.02,428.8811641,0.0954,10971
0.36,0.53,3.85,533.08359,890.31007,415.02,432.5363676,0.0954,10971
0.36,0.53,3.9,533.21238,897.8138496,415.02,436.191571,0.0954,10971
0.36,0.53,3.95,533.34117,905.3176293,415.02,439.8467745,0.0954,10971
0.36,0.53,4,533.46996,912.8214089,415.02,443.501978,0.0954,10971
0.39,0.49,3.8,532.9791,926.6215765,415.02,447.9096696,0.09555,10988.25
0.39,0.49,3.85,533.1080925,934.4990931,415.02,451.7273419,0.09555,10988.25
0.39,0.49,3.9,533.237085,942.3766097,415.02,455.5450142,0.09555,10988.25
0.39,0.49,3.95,533.3660775,950.2541263,415.02,459.3626865,0.09555,10988.25
0.39,0.49,4,533.49507,958.131643,415.02,463.1803588,0.09555,10988.25
0.33,0.58,3.9,533.26179,859.6440035,415.02,419.8346349,0.0957,11005.5
0.33,0.58,3.95,533.390985,866.8287375,415.02,423.3529664,0.0957,11005.5
0.33,0.58,4,533.52018,874.0134714,415.02,426.8712979,0.0957,11005.5
0.4,0.48,3.8,533.052,944.6483489,415.02,455.9299646,0.096,11040
0.4,0.48,3.85,533.1816,952.6795791,415.02,459.816111,0.096,11040
0.4,0.48,3.9,533.3112,960.7108093,415.02,463.7022574,0.096,11040
0.4,0.48,3.95,533.4408,968.7420395,415.02,467.5884039,0.096,11040
0.32,0.6,3.95,533.4408,856.1186945,415.02,418.8741277,0.096,11040
0.4,0.48,4,533.5704,976.7732698,415.02,471.4745503,0.096,11040
0.32,0.6,4,533.5704,863.2148938,415.02,422.3553999,0.096,11040
0.37,0.52,3.8,533.0844,902.0995198,415.02,437.6188422,0.0962,11063
0.37,0.52,3.85,533.21427,909.7670843,415.02,441.3483704,0.0962,11063
0.37,0.52,3.9,533.34414,917.4346488,415.02,445.0778985,0.0962,11063
0.37,0.52,3.95,533.47401,925.1022134,415.02,448.8074266,0.0962,11063
0.37,0.52,4,533.60388,932.7697779,415.02,452.5369548,0.0962,11063
0.35,0.55,3.8,533.0925,874.9773267,415.02,425.9123745,0.09625,11068.75
0.35,0.55,3.85,533.2224375,882.4139637,415.02,429.5421224,0.09625,11068.75
0.35,0.55,3.9,533.352375,889.8506006,415.02,433.1718702,0.09625,11068.75
0.35,0.55,3.95,533.4823125,897.2872376,415.02,436.8016181,0.09625,11068.75
